code,term
198081000000101,Ambulatory systolic blood pressure
314441002,Minimum day interval systolic blood pressure
314444005,Maximum day interval systolic blood pressure
314445006,Average night interval systolic blood pressure
314446007,Average day interval systolic blood pressure
314447003,Minimum 24 hour systolic blood pressure
314448008,Maximum 24 hour systolic blood pressure
314449000,Average 24 hour systolic blood pressure
314464000,24 hour systolic blood pressure
413606001,Average home systolic blood pressure
